experiment,bleu,1gram,2gram,3gram,4gram,batch_size,lr
en-fr_bs1_lr0003,18.3,47.1,23.4,13.3,7.7,1,0.0003
en-fr_bs1_lr0006,13.9,41.1,18.8,9.8,5.0,1,0.0006
en-fr_bs1_lr0012,9.7,32.6,14.0,6.7,2.8,1,0.0012
en-fr_bs1_lr0024,2.0,12.8,3.5,1.1,0.3,1,0.0024
en-fr_bs1_lr0048,0.5,9.2,1.4,0.2,0.0,1,0.0048
en-fr_bs4_lr0003,18.2,48.2,23.8,13.1,7.3,4,0.0003
en-fr_bs4_lr0006,14.2,42.3,19.7,10.2,4.9,4,0.0006
en-fr_bs4_lr0012,14.2,40.7,19.3,10.2,5.1,4,0.0012
en-fr_bs4_lr0024,9.1,31.9,13.1,6.1,2.7,4,0.0024
en-fr_bs4_lr0048,6.5,27.6,10.1,4.4,1.5,4,0.0048
en-fr_bs16_lr0003,13.6,44.2,19.3,9.4,4.2,16,0.0003
en-fr_bs16_lr0006,14.6,44.9,20.2,10.2,5.0,16,0.0006
en-fr_bs16_lr0012,14.5,42.3,19.8,10.3,5.2,16,0.0012
en-fr_bs16_lr0024,10.3,35.7,14.8,7.0,3.0,16,0.0024
en-fr_bs16_lr0048,10.0,35.5,14.7,6.6,2.9,16,0.0048
en-fr_bs64_lr0003,14.7,46.3,20.1,10.1,4.9,64,0.0003
en-fr_bs64_lr0006,10.0,40.5,14.3,6.3,2.7,64,0.0006
en-fr_bs64_lr0012,17.6,49.6,23.8,12.6,6.5,64,0.0012
en-fr_bs64_lr0024,15.7,46.1,21.6,11.1,5.5,64,0.0024
en-fr_bs64_lr0048,10.6,37.2,15.3,7.2,3.1,64,0.0048
en-fr_bs256_lr0003,12.2,45.9,17.2,7.9,3.6,256,0.0003
en-fr_bs256_lr0006,15.6,49.6,21.2,10.8,5.3,256,0.0006
en-fr_bs256_lr0012,14.8,48.7,20.5,10.0,4.8,256,0.0012
en-fr_bs256_lr0024,18.8,51.9,25.0,13.6,7.1,256,0.0024
en-fr_bs256_lr0048,14.0,47.1,19.0,9.2,4.6,256,0.0048
